영어,단어뜻,비고
agility,민첩성,
retention,보유,
redundant power,보조 파워?,redundant power는 UPS(무정전 전원 공급장치)와 같은 전원 장치
discrete,이산,
"discrete data centers
",개별 데이터 센터,
responsibility,책임,
Which duties,어떤 의무,
instead,그 대신으로,
advantages,이점,
Elimination of the need to perform security auditing,보안 감사 수행 필요성 제거,
Redundancy,중복성,
purchase,구매,
comparing,비교,
sustain,지속시키다,
predictable,예측 가능,
including some seasonal spikes that last only a few weeks at a time,한 번에 몇 주 동안만 지속되는 일부 계절성 급증 포함,
critical,"중요한,치명적인",
invoked,호출,
shifts in system state,시스템 상태 변화,
ingest fees,수집 요금,
Dedicated Hosts,전용호스트,
determine,결정하다,
business unit,사업부,
specific AWS resources,aws 특정 리소스,
lacks expertise,전문성이 부족하다,
centrally,중앙에서,
can span all,모두에 걸칠 수 있습니다,
establish,설립하다,
traditional,전통적으로,
predefined,사전에 정의된,
struggling,고군분투하는,
suitable,적합한,
least privilege access,최소권한 엑세스,
isolate,격리,
stateful,상태저장,
elaborate,정교한,
A manufacturing company,제조회사,
implement threat detection,위협 탐지 구현,
"retail company ",소매 회사,
underutilized,활용도가 낮은,
Enhanced,향상된,
compliance,규정준수,
compliance obligations,준수 의무,
incurring,발생,
forecast,예측,
guess,추측하다,
Trade capital expense,영업자본비용,이 용어는 기업이 제품 또는 서비스를 생산하고 판매하는 데 필요한 자본 투자를 의미합니다.
Governance,통치,
LEAST,저렴한,
ephemeral,일시적인,
,,
,,
,,
,,